id,tenphim,tenphim_en,phude,thoiluong,poster,background,mota,danhmucs_id,quocgias_id,jwurl,url,fb,luotxem,imdb,ngaytao,created_at,updated_at
7,"Những Gã Trai Hư Trọn Đời","Bad Boys for Life (2020)",1,120,poster-nhung-ga-trai-hu-tron-doi-2020.jpg,bg-nhung-ga-trai-hu-tron-doi-2020.jpg,"Sau khi dừng lại ở phần 2 cách đây 16 năm, loạt phim hài hành động nổi đính đám Bad Boys đã chính thức trở lại với khán giả trên toàn thế giới. Vẫn giữ nguyên “cặp đôi huyền thoại” Will Smith và Martin Lawrence, tuy nhiên, Bad Boys For Life sẽ đưa khán giả vào một hành trình mới toanh mà chính chúng ta cũng không ngờ tới.",1,4,"<div itemscope itemtype="https://schema.org/VideoObject"><meta itemprop="uploadDate" content="Mon Apr 13 2020 17:02:21 GMT+0700 (Indochina Time)"/><meta itemprop="name" content="Nhung ga trai hu"/><meta itemprop="duration" content="P0D" /><meta itemprop="contentUrl" content="https://video.fsgn4-1.fna.fbcdn.net/v/t39.24130-2/10000000_2767810853267040_8896507862047435653_n.mp4?_nc_cat=101&_nc_sid=985c63&efg=eyJ2ZW5jb2RlX3RhZyI6Im9lcF9oZCJ9&_nc_ohc=q5ZPfHGFu4gAX_ZzhF4&_nc_ht=video.fsgn4-1.fna&oh=62306192861b7f6416cf41c90ddfecbc&oe=5EB67C05&dl=1"/><script src="https://cdn.jwplayer.com/players/7PSnfRvH-FZvnAKp0.js"></script></div>",https://video.fsgn4-1.fna.fbcdn.net/v/t39.24130-2/10000000_2767810853267040_8896507862047435653_n.mp4?_nc_cat=101&_nc_sid=985c63&efg=eyJ2ZW5jb2RlX3RhZyI6Im9lcF9oZCJ9&_nc_ohc=q5ZPfHGFu4gAX_ZzhF4&_nc_ht=video.fsgn4-1.fna&oh=62306192861b7f6416cf41c90ddfecbc&oe=5EB67C05&dl=1,https://www.facebook.com/tuankiet.le.6/videos/2138495742962941/,0,7.2,2020-05-03,"2020-05-03 03:15:41","2020-05-03 03:15:41"
8,"Chiến Lang","Wolf Warriors ( 2015 )",1,98,poster_chien-lang.jpg,bg_chien-lang.jpg,"Wolf Warrior , một bộ phim hành động chiến tranh do Trung Quốc sản xuất nói về câu chuyện của Lãnh Phong, một cảnh sát tài giỏi bị khai trừ khỏi đội và tổ chức chỉ vì cãi lời cấp trên và đánh tên khủng bố đến chết. Được sự hậu thuẫn và chiêu mộ của quân đội Lãnh Phong nhanh chóng gia nhập hàng ngủ của đội đặc nhiệm Chiến Lang và liên tiếp lập nhiều chiến công hiểm hách. Nỗi ô nhục khi xưa vẫn đeo bám Lãnh Phong và anh quyết định quay lại trả thù khiến cho mọi chuyện trở nên rắc rối và hỗn loạn. Phim  Chiến Lang  sẽ được công chiếu vào tháng 6 này, các bạn hãy chú ý đón xem đừng bỏ lỡ nhé.!",1,1,"<div itemscope itemtype="https://schema.org/VideoObject"><meta itemprop="uploadDate" content="Mon Apr 13 2020 19:12:36 GMT+0700 (Indochina Time)"/><meta itemprop="name" content="Chienlang1"/><meta itemprop="duration" content="P0D" /><meta itemprop="contentUrl" content="https://video.fvca1-1.fna.fbcdn.net/v/t39.24130-2/10000000_2520677658173139_9022586626965509998_n.mp4?_nc_cat=103&_nc_sid=985c63&efg=eyJ2ZW5jb2RlX3RhZyI6Im9lcF9oZCJ9&_nc_ohc=jvfK1m9Pr4EAX_3-4Yc&_nc_ht=video.fvca1-1.fna&oh=32652a9f5c868de8a384bda234eb93ca&oe=5EBA04F3&dl=1"/><script src="https://cdn.jwplayer.com/players/RwZKE2vo-FZvnAKp0.js"></script></div>",https://video.fvca1-1.fna.fbcdn.net/v/t39.24130-2/10000000_2520677658173139_9022586626965509998_n.mp4?_nc_cat=103&_nc_sid=985c63&efg=eyJ2ZW5jb2RlX3RhZyI6Im9lcF9oZCJ9&_nc_ohc=jvfK1m9Pr4EAX_3-4Yc&_nc_ht=video.fvca1-1.fna&oh=32652a9f5c868de8a384bda234eb93ca&oe=5EBA04F3&dl=1,https://www.facebook.com/100050036263088/videos/106219441055931/,0,6.4,2020-05-03,"2020-05-03 06:48:13","2020-05-03 06:48:13"
10,"Sóng Dữ","Shock Wave (2017)",1,120,poster_song-du.jpg,bg_song-du.jpg,"Đốc sát cao cấp phòng xử lý chất nổ Hồng Công, Chương Tại Sơn, 7 năm về trước từng trà trộn vào vào tập đoàn phạm tội của tội phạm truy nã hàng đầu, Hồng Kế Bằng. Trong một phi vụ đánh cướp kho vàng, Chương Tại Sơn đã để lộ thân phận gián điệp của tổ chức gỡ bom, phối hợp với cảnh sát thành công ngăn quả bom nổ, đồng thời một mẻ bắt gọn bọn Hồng Kế Bằng.

Nhưng không may, sau đó Hồng Kế Bằng đã thành công bỏ trốn, và ra lời nhất định sẽ trả thù. 7 năm sau, Hồng Công liên tục bị tấn công bởi những cuộc đánh bom, mọi dấu hiệu nói đều lên Hồng Công sắp phải đối mặt với một tai họa lớn. Trong lúc lòng người nơm nớp, một vụ chặn bắt con tin dưới đường hầm xảy ra. Hàng trăm con tin bị uy hiếp, Hồng Kế Bằng một lần nữa xuất hiện, uy hiếp cảnh sát sẽ cho nổ cả đường hầm…",1,1,"<div itemscope itemtype="https://schema.org/VideoObject"><meta itemprop="uploadDate" content="Mon Apr 13 2020 17:06:31 GMT+0700 (Indochina Time)"/><meta itemprop="name" content="Sóng Dữ"/><meta itemprop="duration" content="P0D" /><meta itemprop="contentUrl" content="https://video-sin6-2.xx.fbcdn.net/v/t39.24130-2/10000000_569383477267868_657160724918459720_n.mp4?_nc_cat=102&_nc_sid=985c63&efg=eyJ2ZW5jb2RlX3RhZyI6Im9lcF9oZCJ9&_nc_ohc=BSr4XLPPlUgAX-mRQQp&_nc_ht=video-sin6-2.xx&oh=027e0da5f57cc1bd7ecee0b076a4027e&oe=5EB7EEE1&dl=1"/><script src="https://cdn.jwplayer.com/players/XribXcsY-FZvnAKp0.js"></script></div>",https://video.fsgn8-1.fna.fbcdn.net/v/t39.24130-2/10000000_2562410760644334_4922412216827675831_n.mp4?_nc_cat=111&_nc_sid=985c63&efg=eyJ2ZW5jb2RlX3RhZyI6Im9lcF9oZCJ9&_nc_ohc=wuOzdkYHwBEAX97gBAk&_nc_ht=video.fsgn8-1.fna&oh=aba97e6986699724d4e38b726afbd42f&oe=5ED59ECD&dl=1,https://www.facebook.com/100050036263088/videos/108694807475061/,0,6.4,2020-05-03,"2020-05-03 07:02:41","2020-05-03 07:02:41"
11,"Cuộc chiến chống tham nhũng","Z Storm (2014)",1,119,poster_doi-chong-tham-nhung.jpg,bg_doi-chong-tham-nhung.jpg,"Vào 1 ngày, có 1 cô gái bị tổn thương ở đôi mắt bỗng xuất hiện tại sở điều tra, muốn tố cáo cục trưởng cục cảnh sát điều tra tội phạm Hoàng Văn Bân về tội tham nhũng. Người phụ trách điều tra tại sở là Lục Chí Liêm cùng các đội viên trong quá trình điều tra nhận thấy sự việc không hề đơn giản, bởi Hoàng Văn Bân bản thân là cục trưởng cục điều tra tội phạm không những không ngăn chặn mà còn lợi dụng chức quyền để thực hiện hành vi phạm tội. Khi cuộc điều tra dần lộ ra những manh mối thì nhiều nhân chứng quan trọng lần lượt bị sát hại.",1,1,"<div itemscope itemtype="https://schema.org/VideoObject"><meta itemprop="uploadDate" content="Sun May 03 2020 14:07:06 GMT+0700 (Indochina Time)"/><meta itemprop="name" content="10000000 231045504620696 4916986764744145893 N"/><meta itemprop="duration" content="P0D" /><meta itemprop="contentUrl" content="https://video.fsgn3-1.fna.fbcdn.net/v/t39.24130-2/10000000_231045504620696_4916986764744145893_n.mp4?_nc_cat=104&_nc_sid=985c63&efg=eyJ2ZW5jb2RlX3RhZyI6Im9lcF9oZCJ9&_nc_ohc=kjDua8dnhC0AX8SMtPw&_nc_ht=video.fsgn3-1.fna&oh=18f87abee686599a4def9743af139726&oe=5ED315D5&dl=1"/><script src="https://cdn.jwplayer.com/players/ZzntxT23-FZvnAKp0.js"></script></div>",https://video.fsgn3-1.fna.fbcdn.net/v/t39.24130-2/10000000_231045504620696_4916986764744145893_n.mp4?_nc_cat=104&_nc_sid=985c63&efg=eyJ2ZW5jb2RlX3RhZyI6Im9lcF9oZCJ9&_nc_ohc=kjDua8dnhC0AX8SMtPw&_nc_ht=video.fsgn3-1.fna&oh=18f87abee686599a4def9743af139726&oe=5ED315D5&dl=1,https://www.facebook.com/100050036263088/videos/107703710907504/,0,5.4,2020-05-03,"2020-05-03 07:17:14","2020-05-03 07:17:14"
