id,tenquocgia,created_at,updated_at
1,"Trung Quốc",NULL,NULL
2,"Thái Lan",NULL,NULL
3,"Việt Nam",NULL,NULL
4,Mỹ,NULL,NULL
5,"Hàn Quốc",NULL,NULL
6,"Đài Loan",NULL,NULL
7,"Hồng Kông",NULL,NULL
8,"Ấn Độ",NULL,NULL
9,"Nhật Bản",NULL,NULL
10,Nga,NULL,NULL
